Tempo_Ephemeris_s,Tipo_Dado_ID,Banda_ID,Observavel
1753118614,11,2,-32811.774827956
1753118614,11,3,-124683.795368194
1753118615,11,3,-124681.856674193
1753118615,11,2,-32810.881929397
1753118616,11,2,-32810.248615264
1753118616,11,3,-124680.004985808
1753118617,11,3,-124678.195507049
1753118617,11,2,-32809.968124389
1753118618,11,2,-32809.405614852
1753118618,11,3,-124676.371059417
1753118619,11,2,-32809.024282454
1753118619,11,3,-124674.602230071
1753118620,11,3,-124672.680019378
1753118620,11,2,-32808.400836944
1753118621,11,3,-124670.909252166
1753118621,11,2,-32807.984931945
1753118622,11,2,-32807.725116729
1753118622,11,3,-124669.133899688
1753118623,11,3,-124667.312564849
1753118623,11,2,-32807.427181243
1753118624,11,2,-32807.392341613
1753118624,11,3,-124665.639030456
1753118625,11,3,-124663.719295501
1753118625,11,2,-32806.424001693
1753118626,11,3,-124661.82704544
1753118626,11,2,-32806.03684616
1753118627,11,3,-124660.063091277
1753118627,11,2,-32805.498519896
1753118628,11,2,-32805.297092437
1753118628,11,3,-124658.239864348
1753118629,11,3,-124656.430889129
1753118629,11,2,-32804.562664031
1753118630,11,2,-32804.381788253
1753118630,11,3,-124654.613197326
1753118631,11,3,-124652.75489807
1753118631,11,2,-32803.572565078
1753118632,11,2,-32802.42070198
1753118632,11,3,-124650.682144164
1753118633,11,2,-32802.225650786
1753118633,11,3,-124648.9981575
1753118634,11,2,-32801.811941146
1753118634,11,3,-124647.15498352
1753118635,11,2,-32801.454151153
1753118635,11,3,-124645.290973662
1753118636,11,2,-32801.109550475
1753118636,11,3,-124643.576339721
1753118637,11,2,-32800.415386199
1753118637,11,3,-124641.678234099
1753118638,11,3,-124639.919246673
1753118638,11,2,-32800.08328247
1753118639,11,3,-124637.969299315
1753118639,11,2,-32799.393426894
1753118640,11,3,-124636.252285003
1753118640,11,2,-32799.057847976
1753118641,11,2,-32798.881456374
1753118641,11,3,-124634.436500548
1753118642,11,2,-32798.056674956
1753118642,11,3,-124632.549140929
1753118643,11,3,-124630.796081542
1753118643,11,2,-32797.771812438
1753118644,11,3,-124628.886447905
1753118644,11,2,-32797.224365233
1753118645,11,2,-32796.845642089
1753118645,11,3,-124627.112174987
1753118646,11,3,-124625.291843413
1753118646,11,2,-32796.360391616
1753118647,11,2,-32795.803911208
1753118647,11,3,-124623.418384551
1753118648,11,3,-124621.608425139
1753118648,11,2,-32795.406444549
1753118649,11,2,-32794.565629958
1753118649,11,3,-124619.722545623
1753118650,11,2,-32794.243442534
1753118650,11,3,-124617.930454253
1753118651,11,2,-32793.727024077
1753118651,11,3,-124616.033634185
1753118652,11,3,-124614.28614807
1753118652,11,2,-32793.414876937
1753118653,11,2,-32792.837745666
1753118653,11,3,-124612.429195403
1753118654,11,3,-124610.599376677
1753118654,11,2,-32792.393569945
1753118655,11,2,-32792.073259353
1753118655,11,3,-124608.812526702
1753118656,11,3,-124606.955017089
1753118656,11,2,-32791.476507186
1753118657,11,2,-32791.309999465
1753118657,11,3,-124605.201110839
1753118658,11,3,-124603.29655075
1753118658,11,2,-32790.544616698
1753118659,11,3,-124601.436855315
1753118659,11,2,-32789.818557738
1753118660,11,3,-124599.669010161
1753118660,11,2,-32789.82322502
1753118661,11,2,-32788.754892348
1753118661,11,3,-124597.716732024
1753118662,11,3,-124595.917911529
1753118662,11,2,-32788.367614745
1753118663,11,2,-32787.836908339
1753118663,11,3,-124594.065799712
1753118664,11,3,-124592.217781066
1753118664,11,2,-32787.412801742
1753118665,11,2,-32786.809446334
1753118665,11,3,-124590.43175125
1753118666,11,2,-32786.528333663
1753118666,11,3,-124588.576942443
1753118667,11,2,-32786.224306106
1753118667,11,3,-124586.830142974
1753118668,11,3,-124585.011993407
1753118668,11,2,-32786.050489425
1753118669,11,2,-32785.235149383
1753118669,11,3,-124583.180648803
1753118670,11,3,-124581.309627532
1753118670,11,2,-32784.772026061
1753118671,11,2,-32783.80325508
1753118671,11,3,-124579.354656218
1753118672,11,3,-124577.619922637
1753118672,11,2,-32783.784652709
1753118673,11,2,-32782.864810943
1753118673,11,3,-124575.701007842
1753118674,11,2,-32782.610317229
1753118674,11,3,-124573.938606261
1753118675,11,3,-124572.085803985
1753118675,11,2,-32782.111518859
1753118676,11,2,-32781.823780059
1753118676,11,3,-124570.31482315
1753118677,11,2,-32781.286458968
1753118677,11,3,-124568.458007812
1753118678,11,3,-124566.636150359
1753118678,11,2,-32780.798049926
1753118679,11,2,-32780.266143798
1753118679,11,3,-124564.749580382
1753118680,11,3,-124563.05839157
1753118680,11,2,-32780.335372924
1753118681,11,2,-32780.117364882
1753118681,11,3,-124561.278888701
1753118682,11,2,-32778.819164275
1753118682,11,3,-124559.336765288
1753118683,11,3,-124557.437305449
1753118683,11,2,-32778.353061675
1753118684,11,3,-124555.733959197
1753118684,11,2,-32778.309152602
1753118685,11,2,-32777.525636672
1753118685,11,3,-124553.777927398
1753118686,11,3,-124551.971645354
1753118686,11,2,-32777.061649322
1753118687,11,2,-32776.809906005
1753118687,11,3,-124550.204372405
1753118688,11,3,-124548.350902556
1753118688,11,2,-32776.341150283
1753118689,11,2,-32776.31620407
1753118689,11,3,-124546.643909453
1753118690,11,2,-32775.348104476
1753118690,11,3,-124544.717220305
1753118691,11,3,-124542.786029815
1753118691,11,2,-32774.65592575
1753118692,11,2,-32774.241115569
1753118692,11,3,-124540.968650817
1753118693,11,2,-32773.879493712
1753118693,11,3,-124539.163158416
1753118694,11,3,-124537.275020598
1753118694,11,2,-32773.176309585
1753118695,11,2,-32772.69501686
1753118695,11,3,-124535.427680968
1753118696,11,3,-124533.581619262
1753118696,11,2,-32772.219512938
1753118697,11,2,-32771.247791289
1753118697,11,3,-124531.675457
1753118698,11,2,-32770.9059906
1753118698,11,3,-124529.824779509
1753118699,11,2,-32770.579580306
1753118699,11,3,-124528.0476799
1753118700,11,3,-124526.22787094
1753118700,11,2,-32770.240358352
1753118701,11,2,-32769.615396499
1753118701,11,3,-124524.381053924
1753118702,11,3,-124522.528415679
1753118702,11,2,-32769.087982177
1753118703,11,2,-32768.698375701
1753118703,11,3,-124520.699451446
1753118704,11,3,-124518.846939086
1753118704,11,2,-32768.005813598
1753118705,11,2,-32767.687776565
1753118705,11,3,-124516.994983672
1753118706,11,2,-32767.432720183
1753118706,11,3,-124515.281902312
1753118707,11,2,-32766.94946289
1753118707,11,3,-124513.42167282
1753118708,11,2,-32766.255802154
1753118708,11,3,-124511.525291442
1753118709,11,2,-32765.865095138
1753118709,11,3,-124509.696323394
1753118710,11,3,-124507.854869842
1753118710,11,2,-32765.285381316
1753118711,11,2,-32764.791173934
1753118711,11,3,-124505.977138518
