source_id,ra,dec,phot_g_mean_mag,astrometric_excess_noise,x_true_equator,dgm_sector
6242791039829025664,243.59690023001104,-21.935935338628514,14.513447,5.887349,7303.207682969422,Retrograde
6049571804197674112,243.1866091457916,-25.106073113710966,14.201581,5.882187,9186.887066086589,Retrograde
6052030587073754496,245.71777019415197,-22.22826095995924,13.118362,5.823803,331.8495303738964,Retrograde
6243030016108439552,243.6134413141143,-21.37937347768159,14.761397,5.720854,7156.170991632077,Retrograde
6051139707778513664,247.32300927911265,-22.25348069535314,14.2568245,5.6637144,-4977.121694190124,Prograde
6244595926825758336,243.77500434674374,-20.87391837651424,12.428808,5.607794,6537.603050277149,Retrograde
6052046323834033152,245.55511367656607,-22.160902408142142,13.812448,5.264979,859.05430568398,Retrograde
6050422860560207616,244.26099032342654,-22.977348530809184,14.508544,5.057262,5277.831795866377,Retrograde
6052213587039075840,245.93122694483316,-21.50823562692565,13.710848,4.9237657,-494.0600100669688,Prograde
6051752513710104704,246.37228962826438,-22.823528131121677,14.364435,4.9192796,-1735.8273720371242,Prograde
6244327233672102272,244.57289851380673,-21.321780910736884,14.86559,4.9125676,3970.930343707184,Retrograde
6243073515537689216,243.00537820950842,-21.258541689030388,11.772861,4.789241,9148.7525357192,Retrograde
6045767700125302528,248.20772718706635,-25.817416534487915,14.456106,4.6848845,-7314.47161315572,Prograde
6051166645810624000,248.7256079696985,-23.146209192849227,14.284379,4.6678033,-9471.528929693495,Prograde
6051658299307335552,248.7199978705568,-21.298440320548345,14.27608,4.656089,-9759.352397401553,Prograde
6243104233144417408,243.1336782519775,-21.015486719689246,14.730202,4.5857124,8683.791699146137,Retrograde
6048602103663486592,245.29708594323918,-25.59288089269204,2.920874,4.584764,2282.177602784753,Retrograde
6052737710487936640,247.8052140690495,-20.261298867503182,13.593231,4.5660787,-6903.501411233264,Prograde
6050807998861409536,247.99346130649567,-23.35357864351752,14.552043,4.5617905,-7013.823882645685,Prograde
6050446259537165184,244.6955597093383,-23.24249234177974,12.750697,4.5555964,3883.423556819371,Retrograde
6049294005710714880,245.58289270383733,-24.363463926251814,9.304262,4.527952,1132.3320169753129,Retrograde
6048708618848575616,243.3527773012223,-25.96728358482819,14.844508,4.503187,8779.69364591947,Retrograde
6050876340381102080,246.7886232496639,-23.651698024448496,12.101731,4.441231,-2976.5178459451627,Prograde
6049981647157255424,242.9959132622755,-23.86350999642883,14.233849,4.437274,9612.02948355173,Retrograde
6049567749748490624,243.25181669813068,-25.160570959593006,11.713206,4.3704753,8980.094407256323,Retrograde
6050422104646094976,244.26693525422874,-22.977863354760245,14.935247,4.3312383,5258.240138952471,Retrograde
6244889874385191680,245.90110955271106,-20.077744043983568,14.65529,4.3297615,-631.5753754951738,Prograde
6049102961266075392,247.18860257502715,-24.472049893144405,12.200583,4.303251,-4164.373882688823,Prograde
6243862930526788096,243.07589200851382,-20.872787040134888,14.596992,4.2657633,8851.395296930237,Retrograde
6051810066271766272,245.70470611695777,-22.58487204559997,14.947315,4.240707,434.2224181356437,Retrograde
6242621238302917248,243.6658087897672,-22.403825793954432,14.930205,4.169099,7152.712813064687,Retrograde
6052304571629435776,247.6174833697781,-21.52518472951825,13.52617,4.164458,-6072.560542462882,Prograde
6051004639645542912,246.7918597769327,-22.831641729307403,12.961534,4.1592956,-3123.2099777131866,Prograde
6050422860560375680,244.25817361666665,-22.973002432263208,13.84033,4.121573,5286.434106096083,Retrograde
6245368711699396224,243.25331302667533,-20.63592923504405,12.850121,4.1095176,8224.877389815001,Retrograde
6245378469865308800,243.60916060174648,-20.428288585993037,10.793197,4.082844,7012.633219629264,Retrograde
6051913935763626368,247.01157604342797,-21.9011359623286,14.149052,4.0525084,-4004.739100511822,Prograde
6244621280013236608,243.62889653274837,-20.597115618714074,13.105805,3.9854207,6975.304063120444,Retrograde
6050422860560329472,244.2583851984853,-22.97553287136537,14.4932375,3.9427247,5286.153385935639,Retrograde
6047629310743676288,248.2174573419472,-24.051902314759815,14.503855,3.9048462,-7639.430269479072,Prograde
6049658665614644736,244.10906304816314,-24.654267680272078,14.590097,3.845255,6058.755638040354,Retrograde
6048879283668428672,244.89807410623203,-24.83792263018812,14.74469,3.8413327,3477.674764571319,Retrograde
6050548926435977472,244.33801149161877,-22.469427824488356,14.835506,3.8391774,4938.678669789447,Retrograde
6050316757689400704,244.21035193769308,-23.660961179695775,14.168325,3.8312633,5558.793788239608,Retrograde
6243030634583759616,243.4960772232056,-21.38624017222576,13.6246395,3.8194528,7545.770984581606,Retrograde
6049626642338256384,243.7658913242865,-24.85774582308154,13.992734,3.811071,7228.354011520224,Retrograde
6052195823055760512,246.45319740113325,-21.35819290924476,14.422438,3.8070354,-2246.600693403099,Prograde
6052757123740219392,247.7226460442188,-20.04614934959845,13.463942,3.7989101,-6665.886467860967,Prograde
6049381588681160320,246.48263738969484,-23.919637759461143,12.960903,3.7884161,-1919.3114666500055,Prograde
6244448076871020032,245.6418685757884,-20.597951704885677,14.755833,3.781202,312.7413361600007,Retrograde
6245400150860481408,243.2593508333395,-20.221165049196262,14.654294,3.7806559,8136.117837289575,Retrograde
6245372697430002560,243.14707088950777,-20.576214761148993,13.177807,3.7358534,8566.62470383951,Retrograde
6051167642239219712,248.78541709686414,-23.048199601844832,14.9485855,3.7230806,-9685.741821668867,Prograde
6050422826200899072,244.2487429987022,-22.98451199885463,14.899765,3.7107048,5319.556831913289,Retrograde
6243026614494683904,243.8214408609193,-21.273387288989245,14.93276,3.650054,6450.142532915192,Retrograde
6244370385203743744,244.40865875045324,-21.022383856540433,12.365438,3.6491907,4464.8994546852355,Retrograde
6051121050436378752,247.55570809220728,-22.443379279909436,14.580567,3.648137,-5715.838982366565,Prograde
6046079102430752512,247.46192027534684,-24.77093801230342,14.635479,3.6264749,-5019.462561757123,Prograde
6050422860561681280,244.25994664778284,-22.979694736163164,13.970731,3.6034122,5281.675281517582,Retrograde
6052212792467863808,245.6970883160011,-21.436262410276196,12.016521,3.5981424,268.97697771636393,Retrograde
6050422860560213632,244.25923992521052,-22.977989827134966,13.747553,3.5742078,5283.731746752374,Retrograde
6050422860561681152,244.26140013678219,-22.977829469557346,14.842564,3.5571878,5276.555109740236,Retrograde
6049038747211308544,246.8496851268678,-25.20281875575506,14.567936,3.5435042,-2921.4226844685195,Prograde
6049174399459153024,246.69345331673273,-24.20012360941412,13.942347,3.526675,-2570.578023386036,Prograde
6242762800426399232,244.34070562678832,-21.744068390302992,14.83262,3.4728894,4809.484179918298,Retrograde
6050422860560263936,244.2596094005775,-22.97681891469396,14.637265,3.454232,5282.314668961366,Retrograde
6050153926882237056,244.54509840554448,-23.541040082552424,14.406815,3.4457684,4430.937236430672,Retrograde
6052271925575846272,245.93653675584648,-20.91064005351334,14.678178,3.445439,-610.7266084558977,Prograde
6244304242707963520,245.06040275694735,-21.28027410223892,11.302803,3.4367318,2350.4659261663423,Retrograde
6051935651116700672,246.67162248815075,-22.00276199586383,13.345887,3.409797,-2862.681340009538,Prograde
6244754050340080512,244.3089600638861,-20.09113659760572,13.625184,3.4083908,4640.473410647547,Retrograde
6050422860560362880,244.26277326851627,-22.975231543831736,14.190391,3.3436522,5271.579423452576,Retrograde
6052391226891620864,247.65082898342015,-21.110246644850243,13.094218,3.3374476,-6251.734568652509,Prograde
6052302716203569152,247.4426925590532,-21.63427033255869,14.112228,3.3312972,-5475.935168336641,Prograde
6050422860552800640,244.2605633511464,-22.975944243225847,14.475205,3.302084,5279.012168713081,Retrograde
6050422860560453120,244.26270366981606,-22.973263569320345,14.897564,3.2988038,5271.48346256225,Retrograde
6051280067307563392,248.71831936843714,-22.2633185382705,14.365855,3.245956,-9593.803150873235,Prograde
6049215871665611520,245.72959534550446,-24.821408779093677,14.714209,3.2454877,722.6987062863269,Retrograde
6243033688301390720,243.44437149775857,-21.355389856162688,14.821158,3.2445881,7711.795352013191,Retrograde
6050379017532384128,243.7522056175662,-23.43563413700113,13.16479,3.1865058,7037.841227399506,Retrograde
6050018377718181888,243.40182318366172,-23.441029999179595,14.038582,3.1590958,8198.460715758654,Retrograde
6051719597082092032,246.15232799555136,-23.05020660581559,14.173195,3.1429937,-970.1929304107767,Prograde
6051480831261049856,248.6190831899003,-21.99771667710491,14.489082,3.1375232,-9309.384450303947,Prograde
6244355614811497216,244.8325901752124,-21.172258432275356,14.370211,3.1255896,3086.587973981286,Retrograde
6049577301757532544,243.59241879208938,-24.98836955184551,13.41939,3.0500023,7824.1874344357075,Retrograde
6049241881986260480,245.68918898689617,-24.52347846137486,14.649977,3.0185134,807.0369821899482,Retrograde
6047306741528904192,248.4936357549622,-25.17631033029169,13.2652445,2.9833937,-8367.102005752704,Prograde
6049241877688177792,245.68908661553942,-24.523363454766,14.699084,2.9712262,807.3567492764853,Retrograde
6243868702963748352,243.02101078727586,-20.72804126116614,13.032517,2.947331,9009.044332978512,Retrograde
6242816882648370304,243.84368620758855,-21.774257852031308,13.028851,2.9011905,6459.566101133909,Retrograde
6050422860561681408,244.25897111987078,-22.976541626212153,14.322108,2.893525,5284.381323981528,Retrograde
6048752186997307136,243.8838246489494,-25.50871672811891,10.886748,2.885803,6945.950844721765,Retrograde
6050355824711338880,244.54251713782554,-23.257803580583833,14.694863,2.870058,4392.51538831199,Retrograde
6048862138160087424,244.67250642078153,-25.256230281005866,13.643153,2.8524716,4293.640035778587,Retrograde
6048849317679281920,244.08251114426577,-25.298221772319767,14.268534,2.8344984,6253.4181216489205,Retrograde
6050275697793991552,245.3052990742253,-23.116568816086875,13.507291,2.8340027,1844.377462123322,Retrograde
6050422860552935296,244.26013508608827,-22.975075636773045,14.847016,2.829148,5280.285645757835,Retrograde
6242824132557108864,243.77152139588205,-21.590384258850563,14.733917,2.823519,6667.933721889278,Retrograde
6051922388259321600,247.08237981538642,-21.77838655694971,11.028552,2.821369,-4259.4452690080025,Prograde
6051938674775174016,246.65296400155083,-21.978822291163887,14.171813,2.8158538,-2804.893557473471,Prograde
6244845722121135744,246.43938498968086,-20.23091758087093,14.871671,2.8092601,-2387.8051002385123,Prograde
6244387981688916608,245.28926847366023,-21.187456271386257,14.992481,2.8083377,1577.5564353236637,Retrograde
6050049164041051520,244.54051606999394,-24.178538781590518,14.965107,2.7999055,4551.812609070703,Retrograde
4130998849237044096,248.54275545384317,-20.324741528490726,13.285319,2.759458,-9334.156992643244,Prograde
6050108743826108032,244.4070968423812,-23.917214664535095,14.964791,2.7437818,4950.082517236918,Retrograde
6050532880438022272,244.51508230884303,-22.560766988596146,14.382334,2.7432847,4367.740656183518,Retrograde
6050580090719467264,244.823108358803,-22.206917108138448,14.881634,2.7395544,3289.53609000107,Retrograde
6244355614818123904,244.83262709109005,-21.172191870939155,14.232181,2.7308795,3086.4547497280964,Retrograde
6050422860560288384,244.25913756591737,-22.975734008759197,14.675472,2.7231088,5283.696490059872,Retrograde
6051948634800583680,246.24535850926566,-21.927055193583193,14.976986,2.7223094,-1464.351071064279,Prograde
6051233544223484160,248.67088574606373,-22.663562506385937,14.587048,2.7102933,-9370.436008402932,Prograde
6050795388837732352,248.53441457057397,-23.103614560236917,14.911532,2.6947114,-8845.764134730916,Prograde
6050181861348297472,245.1929094557708,-23.747858371959143,14.751901,2.6900275,2321.052712651796,Retrograde
6047501939193449344,248.5047107722486,-24.917713594765434,14.924749,2.6862826,-8446.63885340765,Prograde
6049542834636207104,243.17968629567437,-25.289842486553102,12.411974,2.6807845,9240.273048372439,Retrograde
6049896705585796224,243.32386471091394,-24.324249460861918,14.375364,2.6557255,8602.947275373359,Retrograde
6243101999760587136,243.0291485262034,-21.107829787072262,14.313513,2.649127,9045.084919079714,Retrograde
6049534313421096576,242.9916605747898,-25.42515142813626,9.422992,2.6378868,9885.05270875364,Retrograde
6045725815606782976,248.64285046306549,-25.750698951918285,13.282305,2.6155074,-8765.741558240581,Prograde
6051438362622610176,248.18084516895635,-22.442756245790356,14.9088,2.596043,-7785.0726951051,Prograde
6050422860560347904,244.2608659629554,-22.975824840604027,14.62969,2.5785205,5277.990760085317,Retrograde
6045879712873815296,246.43532604456996,-26.0021761170992,14.33601,2.5745354,-1417.3953588488184,Prograde
6242595468500378752,243.63560828257118,-22.744944560762082,14.688515,2.5708158,7309.23637813832,Retrograde
6048896841494808960,244.7058746301087,-24.67429525995803,14.757503,2.570024,4086.7002220303903,Retrograde
