source_id,ra,dec,astrometric_excess_noise
2544877013186825984,2.493048179953619,-1.1501527572654127,29.212612
2544883399802536320,2.3732691820318164,-0.9853470990574095,17.669498
2544900618326203904,1.8608697526313858,-1.1678784231714763,1.7094625
2544901232507601536,1.950688127490037,-1.1523033725708391,1.3430105
2544901339881755008,1.9194984873078282,-1.1518892227719264,1.1590242
2544921440328688128,2.1445975368755814,-1.1316296349926382,22.416697
2544923604992209152,2.2561008044214796,-1.057546672292737,22.858383
2544928758952780928,2.0892394412215696,-0.9542144735642991,23.695185
2544930541363825024,2.3032704229595304,-0.9641328647344306,1.7260377
2544934492734055936,2.186253204809496,-0.9207300376512546,5.0849214
2544937928707403136,2.2734302579599945,-0.8093057744133672,3.5416377
2544938139161367680,2.2612793963287614,-0.7940823999216169,15.493365
2544938959500005888,1.9724948549709835,-0.9950431450123328,9.449565
2544946591657241344,1.8771869381628485,-0.8077267915632799,57.673046
2544946965318253440,1.9205248822385717,-0.7834844609791694,3.7029757
2544950749185333120,2.1797787821766126,-0.7396960606575743,48.023163
2544951122846915840,2.186681924434847,-0.7324395641808606,13.183658
2544952462877776000,2.0514336912431026,-0.7473717515848123,3.3167408
2544959098602029696,2.9153577612029373,-1.0417972221756435,21.72583
2544960301191910912,2.9060297318530015,-0.9843612407150534,2.8122625
2544960434336303104,2.734942113842936,-1.095508830705484,2.8087962
2544961155890642048,2.7818359583347316,-1.0440657275569374,19.071718
2544963389273197824,2.8808720777213765,-0.9665845160716329,9.661488
2544964798022462976,2.989579002331674,-1.0322617979407558,1.4770973
2544967344939237632,3.0349819271545715,-0.9323025660165698,16.044184
2544972705058265344,2.964923557662329,-0.8201074229919039,45.620995
2544975827498935424,2.7339292949927114,-0.9502063037089645,3.1825209
2544980504718173824,2.6305127012511678,-0.8612437603045051,3.333699
2544988368803483776,2.6724566116220636,-0.7279849887365507,37.572025
2544990773984970240,2.8259734276255712,-0.6429341087095816,2.1132305
2545004522175999104,3.2768498479048103,-0.641479972642117,6.238921
2545013795010656640,2.9343303058643335,-0.6181180795736334,3.0186594
2545017093544366464,2.9831117347441105,-0.5012697955845727,1.5136218
2545020460798741120,3.3185769067419457,-0.4505567239037533,2.077809
2545024897501020416,3.2334051807537185,-0.3750626790949011,22.689186
2545026787286600832,2.460298075339503,-0.8492514101318216,18.821066
2545028054301280640,2.4702163077639954,-0.8081163243979173,1.6892068
2545033109477286272,2.484390874826432,-0.7186775970680719,1.1666408
2545039221216311168,2.7387397456556695,-0.5636682088890103,12.755132
2545046063099825664,2.2983444824507253,-0.6152167010307402,10.372005
2545055061056298496,2.5507415924965704,-0.4990251219734392,20.851828
2545062895076061952,2.79328461542202,-0.5061747987726442,1.0080677
2545062968091117184,2.7552647084797126,-0.5223686195252825,25.003012
2545065197178096512,2.8173722844380613,-0.45087866613732636,1.4776667
2545073585250286080,3.1123749260276754,-0.27544660128604476,8.699672
2545076127870714112,2.8286156830139118,-0.3104926101743064,6.549358
2545081483694547840,2.751201195059051,-0.3407059385794676,1.0652221
2545086534577611264,2.7037485899437597,-0.21360088685223194,1.5345472
2545087088627233920,2.612091900205324,-0.21881316008210713,1.3798414
2545090868198479872,2.9728236826632637,-0.15277390033878527,1.4968344
2545092169572771712,2.8787214065874895,-0.11077264818430581,2.8966591
2545097259109086336,4.226928997936021,-1.1275324229102408,26.253807
2545097014296105088,4.2019073349339475,-1.1612946367165007,22.056961
2545098564779252608,4.250882984373887,-1.0816039627911127,5.1586113
2545106325784784128,4.45158446554593,-0.9618710435352466,1.0919683
2545106742397825280,4.35760502262265,-0.9784882309846117,3.7818162
2545107463952330880,4.367887463467636,-0.9402329363418465,17.672993
2545108116787173760,4.455221020166904,-0.9205229516731139,3.4121654
2545109388097720832,4.4865115776522,-0.8841892832927613,25.54397
2545111793279101568,4.324350718197172,-0.8554660993312039,6.228705
2545112270019542912,4.420535944612937,-0.8638719026409107,23.603664
2545112579257193216,4.399594036986407,-0.8389861442181503,1.2558575
2545116324469093248,4.016288142946517,-0.9365360233294517,41.43423
2545118901449471104,3.9836042669438254,-0.93346624693722,42.911037
2545121684588299904,4.094223768016658,-0.816928148964301,20.559685
2545122032481389568,3.9946398591717203,-0.8484181728277223,14.409334
2545127697542522112,4.165860484398644,-0.7883569687130123,30.943985
2545129862205826688,4.241852246598394,-0.721845610103233,2.9364333
2545133920950891904,4.536487395315942,-0.7837304707072384,10.944102
2545134500770293888,4.6355954151006085,-0.7676036755904956,15.876385
2545140548084471424,4.5474202637825405,-0.6306391311214756,4.2291007
2545141858050250624,4.72018893954285,-0.6896431349054729,25.387245
2545144572469581824,4.834915487365237,-0.5924468958752203,54.861378
2545146183082729472,4.700102429846532,-0.5696370597789889,7.551682
2545150138747155712,4.423153098834201,-0.686491307583989,1.9367332
2545151581856410752,4.3942700459048005,-0.6317488119780138,23.526829
